frequency,peak_power,interference_type
868.8375,-125.545313791512,Широкополосные
868.837625,-125.328868327794,Широкополосные
868.83775,-125.338394441869,Широкополосные
868.837875,-125.529964428079,Широкополосные
868.838,-125.880896449891,Широкополосные
868.838125,-126.260425127642,Широкополосные
868.83825,-126.609580629075,Широкополосные
868.838375,-126.887158562521,Широкополосные
868.8385,-127.048902571304,Широкополосные
868.838625,-127.06368155038,Широкополосные
868.83875,-126.956303724242,Широкополосные
868.838875,-126.701714549257,Широкополосные
868.839,-126.368207150746,Широкополосные
868.839125,-126.073746844216,Широкополосные
868.83925,-125.815909392642,Широкополосные
868.839375,-125.735155939498,Широкополосные
868.8395,-125.794949208021,Широкополосные
868.839625,-126.087708112471,Широкополосные
868.83975,-126.478064736744,Широкополосные
868.839875,-126.885263066033,Широкополосные
868.84,-127.136996722258,Широкополосные
868.840125,-126.985442894101,Широкополосные
868.84025,-126.700707275348,Широкополосные
868.840375,-126.374389177336,Широкополосные
868.8405,-126.233564318026,Широкополосные
868.840625,-126.410852073296,Широкополосные
868.84075,-126.681485767402,Широкополосные
868.840875,-126.979213548807,Широкополосные
868.841,-126.938306603933,Широкополосные
868.841125,-126.603928040924,Широкополосные
868.84125,-126.215730313911,Широкополосные
868.841375,-125.79898045035,Широкополосные
868.8415,-125.628066340479,Широкополосные
868.841625,-125.611944573375,Широкополосные
868.84175,-125.745682272012,Широкополосные
868.841875,-125.96460005614,Широкополосные
868.842,-126.235789573282,Широкополосные
868.842125,-126.47568778835,Широкополосные
868.84225,-126.670428801652,Широкополосные
868.842375,-126.693256144146,Широкополосные
868.8425,-126.554134741709,Широкополосные
868.842625,-126.434764871022,Широкополосные
868.84275,-126.294654089515,Широкополосные
868.842875,-126.363588465218,Широкополосные
868.843,-126.602566164803,Широкополосные
868.843125,-126.856985405159,Широкополосные
868.84325,-127.056138060721,Широкополосные
868.843375,-126.879962864624,Широкополосные
868.8435,-126.406240374253,Широкополосные
868.843625,-125.829987839456,Широкополосные
868.84375,-125.275318570653,Широкополосные
868.843875,-124.982313223265,Широкополосные
868.844,-124.947409003034,Широкополосные
868.844125,-125.223010498176,Широкополосные
868.84425,-125.661950625311,Широкополосные
868.844375,-126.268444326605,Широкополосные
868.8445,-126.765283008557,Широкополосные
868.844625,-127.095298495227,Широкополосные
868.84475,-127.165815290967,Широкополосные
868.844875,-126.997860359131,Широкополосные
868.845,-126.728844912016,Широкополосные
868.845125,-126.400388771035,Широкополосные
868.84525,-126.072667300754,Широкополосные
868.845375,-125.741026793281,Широкополосные
