frequency,amplitude,snr,bandwidth,is_interference,interference_prob,timestamp,recommendations
915.0,-55.0,12.0,10.0,True,0.59,2025-05-14 20:45:59.485386,['🟡 Возможны помехи (59.0%)']
880.0,-65.0,8.0,20.0,True,0.58,2025-05-14 20:46:06.926407,"['🟡 Возможны помехи (58.0%)', '⚡ Проверить антенну (амплитуда -65.0 dB)']"
2450.0,-70.0,5.0,40.0,False,0.33,2025-05-14 20:46:14.111935,"['🟡 Возможны помехи (33.0%)', '⚡ Проверить антенну (амплитуда -70.0 dB)', '📶 Wi-Fi диапазон может быть перегружен']"
915.0,-55.0,12.0,10.0,True,0.59,2025-05-14 21:05:42.384219,['🟡 Возможны помехи (59.0%)']
880.0,-65.0,8.0,20.0,True,0.58,2025-05-14 21:05:45.079445,"['🟡 Возможны помехи (58.0%)', '⚡ Проверить антенну (амплитуда -65.0 dB)']"
2450.0,-70.0,5.0,40.0,False,0.33,2025-05-14 21:05:47.699413,"['🟡 Возможны помехи (33.0%)', '⚡ Проверить антенну (амплитуда -70.0 dB)', '📶 Wi-Fi диапазон может быть перегружен']"
855.9395316950493,-51.398550763991366,23.144840766316488,10,True,0.64,2025-05-14 21:16:04.085172,['🟡 Возможны помехи (64.0%)']
833.2554184335081,-64.18434856798676,9.823404350035592,5,False,0.2,2025-05-14 21:16:04.102174,"['🟢 Сигнал чистый (80.0%)', '⚡ Проверить антенну (амплитуда -64.2 dB)']"
831.4368098475156,-53.64313342529597,24.79269057519256,10,True,0.55,2025-05-14 21:16:04.121181,['🟡 Возможны помехи (55.0%)']
936.4626936535736,-57.68021910292053,14.623693400254588,10,False,0.36,2025-05-14 21:16:04.140175,['🟡 Возможны помехи (36.0%)']
873.4042569988275,-67.48089286641763,17.915417830971442,20,True,0.62,2025-05-14 21:16:04.159172,"['🟡 Возможны помехи (62.0%)', '⚡ Проверить антенну (амплитуда -67.5 dB)']"
804.9132341361836,-36.44615807072133,16.094828269486655,20,True,0.6,2025-05-14 21:19:17.748196,['🟡 Возможны помехи (60.0%)']
905.9794655940693,-66.15452579855051,20.03481527458584,20,False,0.4,2025-05-14 21:19:17.760198,"['🟡 Возможны помехи (40.0%)', '⚡ Проверить антенну (амплитуда -66.2 dB)']"
907.4365765974328,-32.790938507694946,24.42226696097112,5,False,0.3,2025-05-14 21:19:17.777197,['🟢 Сигнал чистый (70.0%)']
880.1000466006351,-30.51949817761708,15.602764052474864,20,True,0.52,2025-05-14 21:19:17.796199,['🟡 Возможны помехи (52.0%)']
873.3243498003852,-53.417621616638364,23.27076285842674,20,True,0.59,2025-05-14 21:19:17.814234,['🟡 Возможны помехи (59.0%)']
975.6950332278199,-69.80381939601929,20.890844275271654,5,False,0.24,2025-05-14 21:19:35.891416,"['🟢 Сигнал чистый (76.0%)', '⚡ Проверить антенну (амплитуда -69.8 dB)']"
123.0,3.0,-12.0,0.0,False,0.44,2025-05-14 21:20:06.155432,['🟡 Возможны помехи (44.0%)']
904.6305412412622,-51.95280670087087,8.221304465215669,5,False,0.37,2025-05-14 21:32:09.395540,['🟡 Возможны помехи (37.0%)']
867.5555826956939,-53.91394661293394,13.67617528120524,10,False,0.46,2025-05-14 21:32:15.325068,['🟡 Возможны помехи (46.0%)']
844.0806961676042,-68.35715013011554,26.066065684219755,10,True,0.56,2025-05-14 21:32:22.723059,"['🟡 Возможны помехи (56.0%)', '⚡ Проверить антенну (амплитуда -68.4 dB)']"
895.5512207926115,-54.88939373804287,20.205519304507064,20,False,0.43,2025-05-14 21:32:32.165060,['🟡 Возможны помехи (43.0%)']
829.2770849171945,-34.469539715004544,14.970454272436955,5,True,0.54,2025-05-14 21:32:32.182063,['🟡 Возможны помехи (54.0%)']
896.820647364566,-40.84151361912609,15.516301083991603,20,True,0.59,2025-05-14 21:32:32.198058,['🟡 Возможны помехи (59.0%)']
840.6337505180958,-57.685259219878276,16.106554294815826,10,False,0.36,2025-05-14 21:32:32.217090,['🟡 Возможны помехи (36.0%)']
906.41763227106,-32.6378182698369,17.084874441051383,20,False,0.41,2025-05-14 21:32:32.241090,['🟡 Возможны помехи (41.0%)']
1460.50481590048,-6.3217850309987185,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:16:59.768630,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
2020.880981269289,-1.976740675994634,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:38.047027,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
2302.58388469065,-6.348245057471246,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:38.062028,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
1389.4051338646127,-8.029046976201059,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:38.077028,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
965.4011733337853,-43.20565443541216,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 0.99, 'Смешанные': 0.01}",2025-05-24 09:17:38.094059,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
2051.7050826062887,-37.516860459971696,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:38.109637,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
2045.0549263326172,-12.363348488752884,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:45.518377,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
1827.2495401905142,-20.11265261430073,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:45.533379,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
786.5970729606214,-32.80695568063109,Смешанные,"{'Импульсные': 0.02, 'Широкополосные': 0.98, 'Смешанные': 0.0}",2025-05-24 09:17:45.548377,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
2192.298879823664,-26.768104582162554,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:45.565377,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
1598.9095835914627,-44.76950267618665,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 0.99, 'Смешанные': 0.01}",2025-05-24 09:17:45.580402,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
2622.9113553908373,-1.8020485951767,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:47.718157,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения', '📶 Высокочастотный диапазон - возможны потери']"
2376.6481272557776,-9.56491059480819,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:47.733695,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
2136.110311189654,-10.47517918991008,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:47.747693,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра', '⚡ Высокая мощность сигнала - возможны искажения']"
1729.2527172205048,-24.742736878436606,Смешанные,"{'Импульсные': 0.0, 'Широкополосные': 1.0, 'Смешанные': 0.0}",2025-05-24 09:17:47.761689,"['🟢 Обнаружены смешанные помехи', '→ Требуется комплексный анализ спектра']"
